Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.864
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.977
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.992
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.709
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.802
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.704
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.578
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.72
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.836
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.943
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.96
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.813
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.926
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.914
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.824
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.892
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.928
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.778
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.727
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.495
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.753
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.947
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.804
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.896
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.292
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.871
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.805
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.695
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.59
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.977
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.871
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.879
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.833
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.595
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.815
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.423
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.588
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.717
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.845
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.604
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.739
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.72
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.791
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,1.0
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.907
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,0.991
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.853
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.626
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.396
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_1,0.936
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_2,0.878
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_licensor_present,0.984
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_scope,0.602
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_subject_island,0.56
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_1,0.738
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_2,0.857
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_1,0.702
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_2,0.807
tokyotech-llm/Llama-3-Swallow-8B-v0.1,transitive,0.746
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_island,0.759
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_object_gap,0.798
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap,0.92
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap_long_distance,0.898
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap,0.963
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap_long_distance,0.961
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap,0.313
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap_long_distance,0.264
