Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.88
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.988
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.992
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.74
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.748
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.712
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.595
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.751
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.837
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.942
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.971
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.809
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.936
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.923
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.806
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.913
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.923
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.704
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.621
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.502
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.782
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.957
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.762
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.958
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.264
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.852
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.768
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.701
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.615
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.982
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.853
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.865
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.816
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.638
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.857
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.422
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.611
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.7
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.689
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.489
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.741
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.731
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.77
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,1.0
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.896
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,0.99
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.798
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.64
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.389
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_1,0.912
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_2,0.865
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_licensor_present,0.99
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_scope,0.626
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_subject_island,0.431
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_1,0.866
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_2,0.792
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_1,0.798
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_2,0.748
