Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.867
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.983
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.992
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.73
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.776
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.716
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.566
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.766
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.845
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.947
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.971
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.815
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.938
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.932
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.822
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.903
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.925
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.76
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.683
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.512
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.777
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.952
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.784
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.958
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.201
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.865
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.805
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.711
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.617
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.984
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.856
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.882
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.83
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.658
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.859
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.39
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.637
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.726
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.757
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.5
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.749
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.741
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.789
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,1.0
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.901
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,0.99
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.825
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.638
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.358
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_1,0.934
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_2,0.881
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_licensor_present,0.987
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_scope,0.668
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_subject_island,0.466
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_1,0.812
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_2,0.835
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_1,0.741
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_2,0.793
tokyotech-llm/Llama-3-Swallow-8B-v0.1,transitive,0.752
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_island,0.779
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_object_gap,0.819
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap,0.919
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap_long_distance,0.911
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap,0.971
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap_long_distance,0.97
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap,0.319
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap_long_distance,0.273
