Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.885
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.984
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.993
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.739
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.738
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.723
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.617
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.749
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.827
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.94
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.972
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.809
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.932
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.925
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.795
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.91
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.922
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.686
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.613
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.494
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.798
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.961
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.765
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.955
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.232
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.855
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.742
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.694
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.622
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.979
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.84
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.853
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.807
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.659
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.863
