Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.854
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.986
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.988
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.721
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.715
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.712
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.612
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.691
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.84
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.936
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.936
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.779
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.894
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.891
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.789
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.872
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.914
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.642
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.561
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.493
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.765
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.954
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.688
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.959
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.146
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.827
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.725
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.683
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.603
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.978
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.831
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.814
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.735
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.684
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.822
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.398
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.615
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.692
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.498
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.473
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.731
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.736
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.732
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,1.0
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.871
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,0.988
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.751
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.627
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.449
