Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.851
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.991
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.99
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.748
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.74
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.718
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.617
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.719
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.827
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.936
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.963
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.791
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.915
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.902
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.796
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.895
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.922
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.697
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.6
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.517
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.756
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.953
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.705
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.962
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.222
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.841
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.748
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.702
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.631
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.985
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.841
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.841
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.746
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.676
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.845
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.415
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.607
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.695
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.568
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.497
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.748
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.739
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.755
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,1.0
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.879
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,0.99
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.773
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.638
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.433
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_1,0.902
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_2,0.848
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_licensor_present,0.99
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_scope,0.601
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_subject_island,0.389
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_1,0.811
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_2,0.813
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_1,0.786
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_2,0.754
tokyotech-llm/Llama-3-Swallow-8B-v0.1,transitive,0.749
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_island,0.692
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_object_gap,0.838
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap,0.93
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap_long_distance,0.873
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap,0.97
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap_long_distance,0.958
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap,0.322
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap_long_distance,0.27
