Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.858
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.989
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.991
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.748
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.746
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.714
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.611
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.749
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.82
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.941
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.962
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.798
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.922
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.908
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.799
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.901
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.92
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.719
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.627
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.519
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.752
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.954
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.722
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.962
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.222
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.851
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.759
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.698
