Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.907
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.987
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.992
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.733
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.721
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.715
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.668
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.77
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.818
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.939
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.953
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.797
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.902
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.897
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.812
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.892
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.917
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.661
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.537
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.45
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.785
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.97
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.676
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.974
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.274
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.843
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.712
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.658
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.547
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.964
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.764
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.823
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.745
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.687
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.859
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.402
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.56
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.655
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.524
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.343
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.712
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.692
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.78
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,1.0
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.894
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,0.994
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.759
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.619
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.508
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_1,0.893
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_2,0.813
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_licensor_present,0.963
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_scope,0.592
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_subject_island,0.35
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_1,0.816
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_2,0.79
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_1,0.816
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_2,0.71
tokyotech-llm/Llama-3-Swallow-8B-v0.1,transitive,0.748
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_island,0.575
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_object_gap,0.856
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap,0.927
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap_long_distance,0.901
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap,0.973
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap_long_distance,0.966
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap,0.276
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap_long_distance,0.257
