Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.86
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.936
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.959
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.63
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.78
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.706
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.622
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.712
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.72
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.898
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.864
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.73
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.797
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.816
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.742
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.768
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.866
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.669
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.623
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.468
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.793
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.819
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.664
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.937
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.515
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.814
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.62
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.655
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.599
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.732
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.67
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.828
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.745
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.715
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.809
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.408
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.437
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.539
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.597
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.394
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.639
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.62
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.645
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,1.0
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.803
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,0.988
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.552
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.538
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.673
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_1,0.831
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_2,0.79
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_licensor_present,0.972
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_scope,0.623
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_subject_island,0.389
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_1,0.764
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_2,0.73
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_1,0.717
