Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.768
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.917
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.954
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.611
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.725
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.694
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.617
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.721
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.644
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.901
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.846
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.735
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.847
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.807
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.789
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.822
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.873
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.582
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.646
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.5
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.745
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.799
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.565
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.945
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.326
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.816
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.629
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.652
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.562
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.811
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.71
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.809
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.678
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.716
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.805
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.444
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.398
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.519
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.579
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.352
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.655
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.611
