Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.883
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.991
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.988
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.751
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.806
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.739
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.635
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.718
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.875
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.965
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.967
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.809
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.942
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.945
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.836
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.919
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.938
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.82
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.736
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.423
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.725
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.951
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.766
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.975
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.327
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.879
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.749
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.609
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.496
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.978
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.878
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.869
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.82
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.535
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.851
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.416
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.519
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.574
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.824
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.68
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.715
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.692
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.656
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,1.0
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.868
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,0.996
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.691
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.596
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.411
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_1,0.915
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_2,0.881
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_licensor_present,0.995
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_scope,0.609
