Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.888
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.972
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.99
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.72
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.715
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.717
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.601
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.718
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.83
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.923
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.943
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.746
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.9
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.891
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.779
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.873
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.905
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.699
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.627
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.453
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.749
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.953
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.722
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.953
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.133
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.854
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.719
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.619
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.561
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.987
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.899
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.842
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.757
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.604
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.854
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.332
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.656
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.701
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.616
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.455
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.724
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.711
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.771
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,1.0
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.856
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,0.998
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.817
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.657
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.369
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_1,0.898
