Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.882
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.979
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.991
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.73
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.778
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.72
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.572
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.76
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.839
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.947
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.975
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.813
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.942
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.932
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.822
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.914
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.923
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.75
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.683
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.513
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.788
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.953
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.786
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.959
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.183
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.866
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.795
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.706
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.617
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.986
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.861
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.884
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.831
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.653
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.862
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.397
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.641
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.723
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.77
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.517
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.737
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.738
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.791
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,1.0
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.909
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,0.992
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.815
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.638
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.403
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_1,0.929
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_2,0.887
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_licensor_present,0.988
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_scope,0.662
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_subject_island,0.457
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_1,0.849
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_2,0.837
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_1,0.747
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_2,0.792
