Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.849
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.977
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.992
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.679
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.756
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.723
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.552
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.745
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.806
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.94
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.945
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.767
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.914
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.872
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.793
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.861
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.906
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.744
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.697
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.491
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.834
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.827
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.742
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.969
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.695
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.809
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.677
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.709
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.628
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.889
