Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.877
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.981
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.992
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.732
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.774
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.719
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.571
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.755
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.841
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.948
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.973
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.81
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.94
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.931
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.825
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.909
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.922
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.745
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.672
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.513
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.779
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.952
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.784
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.961
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.187
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.864
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.796
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.71
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.614
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.987
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.86
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.883
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.827
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.656
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.858
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.397
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.64
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.729
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.761
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.522
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.742
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.736
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.799
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,1.0
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.904
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,0.992
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.822
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.635
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.392
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_1,0.932
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_2,0.888
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_licensor_present,0.988
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_scope,0.671
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_subject_island,0.462
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_1,0.826
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_2,0.836
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_1,0.75
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_2,0.792
tokyotech-llm/Llama-3-Swallow-8B-v0.1,transitive,0.753
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_island,0.774
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_object_gap,0.817
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap,0.92
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap_long_distance,0.908
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap,0.975
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap_long_distance,0.966
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap,0.325
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap_long_distance,0.273
