Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.89
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.98
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.991
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.73
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.762
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.725
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.585
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.747
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.836
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.944
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.971
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.8
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.94
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.929
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.81
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.916
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.921
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.739
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.688
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.497
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.77
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.96
