Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.855
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.987
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.987
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.729
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.748
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.711
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.619
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.73
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.841
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.956
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.963
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.818
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.924
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.942
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.826
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.897
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.926
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.774
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.706
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.524
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.716
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.96
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.734
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.918
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.238
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.804
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.763
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.698
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.616
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.973
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.908
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.865
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.823
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.609
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.851
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.462
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.615
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.713
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.734
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.494
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.774
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.73
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.814
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,1.0
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.896
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,0.97
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.857
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.631
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.327
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_1,0.93
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_2,0.851
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_licensor_present,0.993
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_scope,0.641
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_subject_island,0.554
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_1,0.837
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_2,0.853
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_1,0.719
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_2,0.777
tokyotech-llm/Llama-3-Swallow-8B-v0.1,transitive,0.75
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_island,0.772
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_object_gap,0.813
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap,0.912
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap_long_distance,0.892
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap,0.966
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap_long_distance,0.963
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap,0.337
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap_long_distance,0.294
