Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.856
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.986
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.991
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.725
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.771
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.726
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.566
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.74
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.841
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.949
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.972
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.82
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.937
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.93
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.831
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.899
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.933
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.771
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.704
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.525
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.777
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.947
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.806
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.945
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.218
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.875
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.811
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.717
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.614
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.975
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.866
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.881
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.835
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.631
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.836
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.344
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.618
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.728
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.763
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.46
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.735
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.728
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.779
