Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.876
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.987
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.993
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.736
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.748
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.714
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.596
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.758
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.83
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.939
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.973
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.807
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.933
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.924
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.801
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.911
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.922
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.693
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.613
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.503
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.78
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.96
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.758
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.959
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.286
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.85
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.746
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.702
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.627
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.981
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.838
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.858
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.806
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.644
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.86
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.423
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.609
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.684
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.679
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.471
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.736
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.73
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.768
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,1.0
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.895
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,0.99
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.797
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.638
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.394
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_1,0.907
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_2,0.854
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_licensor_present,0.988
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_scope,0.603
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_subject_island,0.414
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_1,0.863
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_2,0.777
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_1,0.81
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_2,0.719
tokyotech-llm/Llama-3-Swallow-8B-v0.1,transitive,0.758
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_island,0.735
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_object_gap,0.827
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap,0.926
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap_long_distance,0.904
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap,0.97
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap_long_distance,0.964
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap,0.339
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap_long_distance,0.294
