Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.873
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.985
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.99
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.739
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.761
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.709
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.598
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.745
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.833
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.949
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.97
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.806
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.933
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.922
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.807
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.908
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.925
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.729
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.635
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.499
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.749
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.954
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.739
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.964
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.251
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.856
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.769
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.701
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.622
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.974
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.857
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.87
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.819
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.651
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.866
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.404
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.62
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.698
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.66
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.453
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.748
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.737
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.763
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,1.0
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.892
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,0.992
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.776
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.635
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.416
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_1,0.924
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_2,0.857
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_licensor_present,0.989
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_scope,0.64
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_subject_island,0.435
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_1,0.856
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_2,0.808
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_1,0.799
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_2,0.757
tokyotech-llm/Llama-3-Swallow-8B-v0.1,transitive,0.747
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_island,0.748
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_object_gap,0.822
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap,0.922
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap_long_distance,0.895
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap,0.973
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap_long_distance,0.962
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap,0.322
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap_long_distance,0.267
