Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.888
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.981
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.994
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.725
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.736
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.71
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.571
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.746
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.822
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.952
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.98
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.817
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.949
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.943
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.825
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.922
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.925
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.772
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.673
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.519
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.795
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.945
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.77
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.956
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.207
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.872
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.784
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.71
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.617
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.984
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.861
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.883
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.831
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.639
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.861
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.387
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.626
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.707
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.72
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.479
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.763
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.735
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.742
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,1.0
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.912
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,0.99
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.772
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.645
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.389
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_1,0.934
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_2,0.893
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_licensor_present,0.99
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_scope,0.65
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_subject_island,0.451
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_1,0.869
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_2,0.8
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_1,0.747
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_2,0.804
tokyotech-llm/Llama-3-Swallow-8B-v0.1,transitive,0.75
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_island,0.729
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_object_gap,0.806
