Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.844
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.971
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.979
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.691
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.813
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.731
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.58
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.754
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.736
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.942
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.937
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.764
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.907
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.872
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.795
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.849
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.903
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.738
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.673
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.487
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.831
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.788
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.744
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.967
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.754
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.814
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.659
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.708
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.62
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.891
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.836
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.862
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.824
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.703
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.851
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.473
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.475
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.642
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.873
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.501
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.632
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.649
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.736
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,1.0
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.882
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,0.997
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.723
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.592
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.477
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_1,0.919
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_2,0.876
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_licensor_present,0.978
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_scope,0.68
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_subject_island,0.413
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_1,0.772
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_2,0.899
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_1,0.716
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_2,0.812
tokyotech-llm/Llama-3-Swallow-8B-v0.1,transitive,0.696
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_island,0.728
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_object_gap,0.763
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap,0.849
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap_long_distance,0.822
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap,0.932
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap_long_distance,0.92
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap,0.357
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap_long_distance,0.285
