Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.885
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.986
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.992
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.728
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.714
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.72
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.618
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.726
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.821
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.94
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.972
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.802
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.935
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.935
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.796
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.914
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.925
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.683
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.587
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.485
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.8
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.956
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.715
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.954
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.227
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.839
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.709
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.697
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.602
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.975
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.834
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.842
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.803
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.682
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.843
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.318
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.592
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.648
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.479
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.439
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.747
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.726
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.76
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,1.0
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.88
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,0.993
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.782
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.633
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.428
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_1,0.901
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_2,0.852
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_licensor_present,0.95
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_scope,0.516
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_subject_island,0.364
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_1,0.846
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_2,0.786
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_1,0.802
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_2,0.742
tokyotech-llm/Llama-3-Swallow-8B-v0.1,transitive,0.754
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_island,0.659
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_object_gap,0.84
