Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.865
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.981
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.991
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.687
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.775
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.717
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.552
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.776
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.772
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.94
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.946
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.777
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.914
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.858
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.792
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.857
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.907
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.754
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.688
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.542
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.818
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.819
