Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.892
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.984
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.987
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.726
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.709
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.72
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.649
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.702
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.852
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.923
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.938
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.773
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.892
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.902
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.781
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.874
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.91
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.591
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.505
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.469
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.807
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.963
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.653
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.95
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.121
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.822
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.725
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.662
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.56
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.924
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.828
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.781
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.709
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.658
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.808
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.409
