Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,adjunct_island,0.864
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_gender_agreement,0.986
tokyotech-llm/Llama-3-Swallow-8B-v0.1,anaphor_number_agreement,0.991
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_passive,0.736
tokyotech-llm/Llama-3-Swallow-8B-v0.1,animate_subject_trans,0.759
tokyotech-llm/Llama-3-Swallow-8B-v0.1,causative,0.713
tokyotech-llm/Llama-3-Swallow-8B-v0.1,complex_NP_island,0.601
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_complex_left_branch,0.74
tokyotech-llm/Llama-3-Swallow-8B-v0.1,coordinate_structure_constraint_object_extraction,0.835
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_1,0.942
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_2,0.967
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_1,0.794
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_irregular_2,0.922
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_2,0.912
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_1,0.799
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adj_irregular_2,0.902
tokyotech-llm/Llama-3-Swallow-8B-v0.1,determiner_noun_agreement_with_adjective_1,0.922
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relational_noun,0.712
tokyotech-llm/Llama-3-Swallow-8B-v0.1,distractor_agreement_relative_clause,0.621
tokyotech-llm/Llama-3-Swallow-8B-v0.1,drop_argument,0.498
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_1,0.757
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis_n_bar_2,0.951
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_object_raising,0.727
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_1,0.964
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_quantifiers_2,0.245
tokyotech-llm/Llama-3-Swallow-8B-v0.1,existential_there_subject_raising,0.857
tokyotech-llm/Llama-3-Swallow-8B-v0.1,expletive_it_object_raising,0.764
tokyotech-llm/Llama-3-Swallow-8B-v0.1,inchoative,0.697
tokyotech-llm/Llama-3-Swallow-8B-v0.1,intransitive,0.614
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_adjectives,0.978
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_past_participle_verbs,0.856
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_1,0.863
tokyotech-llm/Llama-3-Swallow-8B-v0.1,irregular_plural_subject_verb_agreement_2,0.772
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_echo_question,0.66
tokyotech-llm/Llama-3-Swallow-8B-v0.1,left_branch_island_simple_question,0.869
tokyotech-llm/Llama-3-Swallow-8B-v0.1,matrix_question_npi_licensor_present,0.413
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_1,0.6
tokyotech-llm/Llama-3-Swallow-8B-v0.1,npi_present_2,0.683
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_licensor_present,0.672
tokyotech-llm/Llama-3-Swallow-8B-v0.1,only_npi_scope,0.505
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_1,0.732
tokyotech-llm/Llama-3-Swallow-8B-v0.1,passive_2,0.737
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_c_command,0.754
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_1,1.0
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_case_2,0.885
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_1,0.994
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_2,0.769
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_domain_3,0.634
tokyotech-llm/Llama-3-Swallow-8B-v0.1,principle_A_reconstruction,0.447
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_1,0.913
tokyotech-llm/Llama-3-Swallow-8B-v0.1,regular_plural_subject_verb_agreement_2,0.859
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_licensor_present,0.99
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_negation_npi_scope,0.623
tokyotech-llm/Llama-3-Swallow-8B-v0.1,sentential_subject_island,0.402
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_1,0.855
tokyotech-llm/Llama-3-Swallow-8B-v0.1,superlative_quantifiers_2,0.808
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_1,0.803
tokyotech-llm/Llama-3-Swallow-8B-v0.1,tough_vs_raising_2,0.747
tokyotech-llm/Llama-3-Swallow-8B-v0.1,transitive,0.748
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_island,0.715
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_object_gap,0.82
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap,0.923
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_questions_subject_gap_long_distance,0.886
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap,0.97
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_no_gap_long_distance,0.964
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap,0.317
tokyotech-llm/Llama-3-Swallow-8B-v0.1,wh_vs_that_with_gap_long_distance,0.267
